ID,Title,Difficulty,Leetcode Question Link,Tags
545,Boundary of Binary Tree,Medium, https://leetcode.com/problems/boundary-of-binary-tree, "Tree, Depth-First Search"
686,Repeated String Match,Easy, https://leetcode.com/problems/repeated-string-match, "String, Greedy"
402,Remove K Digits,Medium, https://leetcode.com/problems/remove-k-digits, "Stack, Greedy"
95,Unique Binary Search Trees II,Medium, https://leetcode.com/problems/unique-binary-search-trees-ii, "Dynamic Programming, Tree"
46,Permutations,Medium, https://leetcode.com/problems/permutations, "Backtracking"
375,Guess Number Higher or Lower II,Medium, https://leetcode.com/problems/guess-number-higher-or-lower-ii, "Dynamic Programming, Binary Search"
875,Koko Eating Bananas,Medium, https://leetcode.com/problems/koko-eating-bananas, "Binary Search"
32,Longest Valid Parentheses,Hard, https://leetcode.com/problems/longest-valid-parentheses, "Dynamic Programming, Stack, String"
78,Subsets,Medium, https://leetcode.com/problems/subsets, "Array, Backtracking, Bit Manipulation"
131,Palindrome Partitioning,Medium, https://leetcode.com/problems/palindrome-partitioning, "Backtracking"
460,LFU Cache,Hard, https://leetcode.com/problems/lfu-cache, "Hash Table, Linked List, Design"
316,Remove Duplicate Letters,Hard, https://leetcode.com/problems/remove-duplicate-letters, "Stack, Greedy, String"
201,Bitwise AND of Numbers Range,Medium, https://leetcode.com/problems/bitwise-and-of-numbers-range, "Bit Manipulation"
709,To Lower Case,Easy, https://leetcode.com/problems/to-lower-case, "String"
159,Longest Substring with At Most Two Distinct Characters,Medium, https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters, "Hash Table, String, Sliding Window"
81,Search in Rotated Sorted Array II,Medium, https://leetcode.com/problems/search-in-rotated-sorted-array-ii, "Array, Binary Search"
378,Kth Smallest Element in a Sorted Matrix,Medium, https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix, "Array, Binary Search, Heap (Priority Queue)"
143,Reorder List,Medium, https://leetcode.com/problems/reorder-list, "Linked List, Two Pointers, Recursion"
107,Binary Tree Level Order Traversal II,Easy, https://leetcode.com/problems/binary-tree-level-order-traversal-ii, "Tree, Breadth-First Search"
877,Stone Game,Medium, https://leetcode.com/problems/stone-game, "Dynamic Programming, Math, Game Theory"
138,Copy List with Random Pointer,Medium, https://leetcode.com/problems/copy-list-with-random-pointer, "Hash Table, Linked List"
65,Valid Number,Hard, https://leetcode.com/problems/valid-number, "String"
199,Binary Tree Right Side View,Medium, https://leetcode.com/problems/binary-tree-right-side-view, "Tree, Depth-First Search, Breadth-First Search"
72,Edit Distance,Hard, https://leetcode.com/problems/edit-distance, "String, Dynamic Programming"
185,Department Top Three Salaries,Hard, https://leetcode.com/problems/department-top-three-salaries, "SQL"
